codigomuestra,parcela,usuariohab,fechacreacionhab,fechaenviohab,idodkhabitat,horainicio,horafinal,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,actividadpersonas,actividadcebo1,actividadcebo2,actividadcebo3,actividadcebo4,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,idparentaltiposdecebo,tiposdecebo,idparentalcebosbajo,cebosbajo,idparentalcebossobre,cebossobre,idparentalcebosotrosele,cebosotrosele,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
H20191012m6,p28,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-12T21:42:47Z,2019-10-12T21:42:47Z,uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,4.50 pm,5.42 pm,-69.91421963,18.46336212,-29,4.5509996414,Play softball puerta central,6a9,0,6a9,1a5,10omas,10omas,6a9,10omas,2019-10-12T00:00:00Z,NULL,Cesped recortado.,"Otras herbaceas que no es el pasto o cesped regular. Cesped recien recortado, pero queda en la base casi completo.",uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,"jdmp,mlt",uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,"atun_tuna,aceite",uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,despejado,uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,hierba,uuid:1a0d1353-4f3d-42ba-8d06-65e62727a0a6,no_aplica,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01T01:09:39Z,2019-11-01T01:09:39Z,uuid:6f164603-1113-460d-a850-75b5cf4284a0,2019-10-12,"mlt,otra",Diyael Sosa,uuid:6f164603-1113-460d-a850-75b5cf4284a0,"brachymyrmexsp,dorymyrmexantillana,solenopsisgeminata"
H20191013m8,p8,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17T23:20:55Z,2019-10-17T23:20:55Z,uuid:1819a611-a5a3-4a97-863a-42e525941ce7,9.20 am,9.56 am,-69.91517622,18.46456688,-14,4.5509996414,Detras Deportes (Quadrat #8),1a5,0,1a5,1a5,0,0,1a5,1a5,2019-10-13T00:00:00Z,NULL,NULL,Fila de Grigri al borde acera calle,uuid:1819a611-a5a3-4a97-863a-42e525941ce7,"mlt,jdmp",uuid:1819a611-a5a3-4a97-863a-42e525941ce7,"atun_tuna,aceite",uuid:1819a611-a5a3-4a97-863a-42e525941ce7,despejado,uuid:1819a611-a5a3-4a97-863a-42e525941ce7,cemento_pavimento,uuid:1819a611-a5a3-4a97-863a-42e525941ce7,hojarasca,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01T02:33:55Z,2019-11-01T02:33:55Z,uuid:bc9ed3ac-c522-4907-a049-011e5e20b0b9,2019-10-15,"mlt,otra",Diyael Sosa,uuid:bc9ed3ac-c522-4907-a049-011e5e20b0b9,"dorymyrmexantillana,paratrechinalongicornis"
H20191012m2,p107,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-12T15:57:43Z,2019-10-12T15:57:43Z,uuid:47e09a24-48ca-4b38-bc49-a8772474919f,11.08 am,11.47 pm,-69.91790061,18.46012622,-17,4.5509996414,Parqueo Profesores (detras CM),0,0,6a9,0,1a5,1a5,no_aplica,no_aplica,2019-10-12T00:00:00Z,NULL,"Pocos transeúntes. Área de reposo estudiantes (sombra). Solenopsis en 2 cebos próximos a vegetación. Asistió Diyael Sosa. Solo en 2 cebos no hubieron hormigas, y en las demas Dorimirmex.","Algunas en los bordes del pasto, pero siempre a más de 2 metros de los cebos.",uuid:47e09a24-48ca-4b38-bc49-a8772474919f,mlt,uuid:47e09a24-48ca-4b38-bc49-a8772474919f,atun_tuna,uuid:47e09a24-48ca-4b38-bc49-a8772474919f,despejado,uuid:47e09a24-48ca-4b38-bc49-a8772474919f,cemento_pavimento,uuid:47e09a24-48ca-4b38-bc49-a8772474919f,no_aplica,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01T01:09:38Z,2019-11-01T01:09:38Z,uuid:fd53295f-ab64-4e52-b3be-3593b2d5e97d,2019-10-12,"mlt,otra",Diyael Sosa,uuid:fd53295f-ab64-4e52-b3be-3593b2d5e97d,"dorymyrmexantillana,monomoriumpharaonis"
H20191013m9,p140,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17T23:20:57Z,2019-10-17T23:20:57Z,uuid:22c11ddf-3e2e-4924-b0d0-e86d0bd1736e,10.09 am,10.42 am,-69.92189108,18.46007085,-23,4.5509996414,Detras Torre Amd - Q140,1a5,0,1a5,0,0,0,0,0,2019-10-13T00:00:00Z,NULL,Muy soleado,No,uuid:22c11ddf-3e2e-4924-b0d0-e86d0bd1736e,"mlt,jdmp",uuid:22c11ddf-3e2e-4924-b0d0-e86d0bd1736e,"atun_tuna,aceite",uuid:22c11ddf-3e2e-4924-b0d0-e86d0bd1736e,despejado,uuid:22c11ddf-3e2e-4924-b0d0-e86d0bd1736e,cemento_pavimento,uuid:22c11ddf-3e2e-4924-b0d0-e86d0bd1736e,no_aplica,NA,NA,NA,NA,NA,NA,NA,NA,NA
H20191012m7,p178,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-12T22:41:01Z,2019-10-12T22:41:01Z,uuid:ea2aa915-199a-4417-b39c-38b3784929ce,6.00 pm,6.40 pm,-69.92001633,18.45882576,-18,6.0679998398,Entrada Peatonal,0,0,1a5,0,6a9,10omas,1a5,no_aplica,2019-10-12T00:00:00Z,NULL,NULL,Ningua. Areas de cesped y ornamentales en márgenes.,uuid:ea2aa915-199a-4417-b39c-38b3784929ce,"mlt,jdmp",uuid:ea2aa915-199a-4417-b39c-38b3784929ce,"atun_tuna,aceite",uuid:ea2aa915-199a-4417-b39c-38b3784929ce,despejado,uuid:ea2aa915-199a-4417-b39c-38b3784929ce,cemento_pavimento,uuid:ea2aa915-199a-4417-b39c-38b3784929ce,no_aplica,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01T01:09:39Z,2019-11-01T01:09:39Z,uuid:a6c7b0cf-844d-4ca1-894e-81e6707c6bfb,2019-10-12,"mlt,otra",Diyael Sosa,uuid:a6c7b0cf-844d-4ca1-894e-81e6707c6bfb,"dorymyrmexantillana,paratrechinalongicornis"
H20191012m4,p104,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-12T18:00:25Z,2019-10-12T18:00:25Z,uuid:28523054-90e8-4a52-b4ec-d9281e60c745,1.05 pm,1.38 pm,-69.92055858,18.4609699,-7,4.5509996414,Frente Torre Adm,10omas,0,1a5,1a5,0,0,0,0,2019-10-12T00:00:00Z,NULL,Area desprovista vegetación. Horario meridiano (1 pm) muy soleado. Ninguna hormiga registrada.,"Pocos arbustos (foto) en áreas específicas, con una palma (MacArthur?) en el centro.",uuid:28523054-90e8-4a52-b4ec-d9281e60c745,"mlt,jdmp",uuid:28523054-90e8-4a52-b4ec-d9281e60c745,"atun_tuna,aceite",uuid:28523054-90e8-4a52-b4ec-d9281e60c745,despejado,uuid:28523054-90e8-4a52-b4ec-d9281e60c745,cemento_pavimento,uuid:28523054-90e8-4a52-b4ec-d9281e60c745,no_aplica,NA,NA,NA,NA,NA,NA,NA,NA,NA
H20191013m11,p156,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17T23:21:02Z,2019-10-17T23:21:02Z,uuid:9d5fbaa0-b038-4417-9f1e-735c244a6c92,12.45 pm,1.20 pm,-69.92097446,18.45957809,-9,4.5509996414,Salida puerta Torre Adm - Q156,10omas,0,1a5,0,0,0,0,0,2019-10-13T00:00:00Z,NULL,Ninguna hormiga. Muy soleado y expuesto.,Arbustos cerca con palma real,uuid:9d5fbaa0-b038-4417-9f1e-735c244a6c92,"mlt,jdmp",uuid:9d5fbaa0-b038-4417-9f1e-735c244a6c92,"atun_tuna,aceite",uuid:9d5fbaa0-b038-4417-9f1e-735c244a6c92,despejado,uuid:9d5fbaa0-b038-4417-9f1e-735c244a6c92,cemento_pavimento,uuid:9d5fbaa0-b038-4417-9f1e-735c244a6c92,no_aplica,NA,NA,NA,NA,NA,NA,NA,NA,NA
H20191012m5,p16,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-12T20:24:29Z,2019-10-12T20:24:29Z,uuid:9f00b937-5961-4f0f-aa1e-2cc20ad242bf,3.19 pm,4.20 pm,-69.91507305,18.46405673,-17,4.5509996414,Al lado Play Baseball,10omas,0,1a5,0,10omas,10omas,1a5,10omas,2019-10-12T00:00:00Z,NULL,Muchas hormigas. Hasta ahora mayor diversidad y densidad observada (sin analizar en lupa aún).,NULL,uuid:9f00b937-5961-4f0f-aa1e-2cc20ad242bf,"mlt,jdmp",uuid:9f00b937-5961-4f0f-aa1e-2cc20ad242bf,"atun_tuna,aceite",uuid:9f00b937-5961-4f0f-aa1e-2cc20ad242bf,despejado,uuid:9f00b937-5961-4f0f-aa1e-2cc20ad242bf,hierba,uuid:9f00b937-5961-4f0f-aa1e-2cc20ad242bf,no_aplica,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01T01:09:39Z,2019-11-01T01:09:39Z,uuid:37554158-d070-4458-a13a-262bc1717267,2019-10-12,"mlt,otra",Diyael Sosa,uuid:37554158-d070-4458-a13a-262bc1717267,"brachymyrmexsp,dorymyrmexantillana,pheidolejelskii,pheidolesubarmata,solenopsisgeminata"
H20191012m3,p86,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17T23:21:10Z,2019-10-17T23:21:10Z,uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,12.45 pm,1.33 pm,-69.92021,18.46128,0,0,Detras Ed. Economía,10omas,0,6a9,0,0,1a5,6a9,0,2019-10-12T00:00:00Z,NULL,"Brachymyrmex debajo cebos. Dorymyrmex solo en 3 cebos, linea mas proxima a sombra de arboles lejanos.",NULL,uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,"mlt,jdmp",uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,"atun_tuna,aceite",uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,despejado,uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,hierba,uuid:183bb4a9-1a86-451b-a9f4-7b2a5a916ccb,no_aplica,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01T01:09:38Z,2019-11-01T01:09:38Z,uuid:76381b03-d0a6-4dca-a47d-d8ba71ab5d2a,2019-10-12,"mlt,otra",Diyael Sosa,uuid:76381b03-d0a6-4dca-a47d-d8ba71ab5d2a,"brachymyrmexsp,dorymyrmexantillana"
H20191013m10,p122,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17T23:21:00Z,2019-10-17T23:21:00Z,uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,10.15 am,10.56 am,-69.9219455,18.46053551,-21,4.5509996414,Detras Torre Adm - Q122,10omas,0,1a5,0,1a5,6a9,6a9,0,2019-10-13T00:00:00Z,NULL,NULL,"Cesped, y arbustos borde.",uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,"mlt,jdmp",uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,"atun_tuna,aceite",uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,despejado,uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,hierba,uuid:ecea5762-bfc6-415b-9f4c-df704a90c51d,no_aplica,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01T02:33:56Z,2019-11-01T02:33:56Z,uuid:61427a1f-6fd4-433c-a898-94ce7d88afb8,2019-10-15,"mlt,otra",Diyael Sosa,uuid:61427a1f-6fd4-433c-a898-94ce7d88afb8,"brachymyrmexheeri,dorymyrmexantillana"
H20190914m1,p148,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-10-17T23:21:09Z,2019-10-17T23:21:09Z,uuid:404a16ec-addb-4759-baa0-c12e3576f31d,4.55 pm,5.32 pm,-69.91789,18.46009,0,0,Parqueo Prof. Detrás Economato,10omas,0,1a5,6a9,0,0,1a5,0,2019-09-14T00:00:00Z,Juda Martínez,"Se observaron aprox. 15 hormigas en total, de las cuales 8 fueron capturadas.","No. Ornamentales al borde (mas de 1 m en un extremo, con muros de cemento).",uuid:404a16ec-addb-4759-baa0-c12e3576f31d,"mlt,otras",uuid:404a16ec-addb-4759-baa0-c12e3576f31d,"atun_tuna,aceite",uuid:404a16ec-addb-4759-baa0-c12e3576f31d,despejado,uuid:404a16ec-addb-4759-baa0-c12e3576f31d,cemento_pavimento,uuid:404a16ec-addb-4759-baa0-c12e3576f31d,no_aplica,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01T01:09:37Z,2019-11-01T01:09:37Z,uuid:a69d441b-b97f-43cf-81b6-98bf15b72546,2019-09-14,"mlt,otra","Juda Martínez, Diyael Sosa",uuid:a69d441b-b97f-43cf-81b6-98bf15b72546,"dorymyrmexantillana,paratrechinalongicornis"
